id,name,stageId,stageName,severity,entryStatus,plainTerms,description,sectors,indicators,rootCauses,mitigations,related,reference,tiers
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,Intake & Discovery,High,open,"The HR system the company has used for years quietly added AI-driven candidate ranking in an update. It's now an AI system, but it's still filed as an HR system.",,,,,,,,
AGF-F016,Agentic components not distinguished from models,AGF-TA02,Intake & Discovery,High,open,"The register says 'AI assistant.' It's actually an agent that can send emails and update records on its own — which is a completely different risk, recorded as if it were the same one.",,,,,,,,
AGF-F017,Fragmented intake surfaces,AGF-TA02,Intake & Discovery,High,open,"Submitting an idea means filling out four different forms owned by four different teams, with most of the questions repeated across all of them. Most people fill out one and stop.",,,,,,,,
AGF-F018,No triage or routing layer,AGF-TA02,Intake & Discovery,High,full,"An idea gets submitted, sits with the wrong team for two weeks, is forwarded to a second team, who forward it to a third. Nobody rejected it. It just circulated until the submitter gave up.","Submissions enter the organization with no upfront triage step that determines where they belong. Items route by guesswork, bounce between functions, and accumulate delay that is invisible in any single team's metrics because no single team ever held the item long enough to own the wait.","Cross-sector; worst where innovation, operational excellence, and AI governance run as separate intake channels",Submissions with multiple reassignments before first substantive review | Elapsed time far exceeding the sum of active review time | Submitters re-submitting the same idea through a different channel | No single queue where all incoming requests are visible,Multiple teams each built their own intake channel independently | No agreed criteria for which path a submission belongs on | Routing is a judgement call made by whoever receives the item first | Nobody owns the end-to-end submitter experience,"Establish a single upfront triage step preceding all routing decisions | Publish explicit routing criteria so classification is repeatable rather than discretionary | Make the full queue visible across functions so bouncing is observable | Measure and report elapsed time from submission, not active time per team | Assign ownership of the submission experience to a named role",AGF-F017 | AGF-F044 | AGF-F010 | AGF-F086,Manifests as submitter attrition and shadow adoption rather than as a reportable incident.,Tiers 1–3
AGF-F020,No consistent scoring methodology,AGF-TA03,Risk Assessment & Tiering,High,open,"Two reviewers assess similar projects and reach different conclusions, because the scoring criteria exist in their heads rather than on paper.",,,,,,,,
AGF-F021,"Tier assigned once, never revisited",AGF-TA03,Risk Assessment & Tiering,High,open,A tool was rated low risk when it drafted internal emails. It now drafts customer communications. It is still rated low risk.,,,,,,,,
AGF-F022,Miscategorization — high-impact rated low,AGF-TA03,Risk Assessment & Tiering,Critical,open,"A system that influences who gets hired was filed as a productivity tool, because it doesn't make the final call — a person does, after reading its ranking.",,,,,,,,
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,Risk Assessment & Tiering,High,full,Customers are chatting with an AI agent and nobody told them. Nothing in the assessment ever asked whether they would need to be told.,"Use cases that trigger a legal duty to disclose AI involvement to an end user are not identified as such during assessment, so the disclosure obligation is never implemented anywhere downstream. Art. 50 applies by system function rather than risk tier, so the Annex III deferral provides no relief here.",Cross-sector; acute for organizations with EU-facing customers or operations,Customer-facing AI outputs carrying no disclosure language | No transparency-trigger field on the risk assessment form | AI-generated service or marketing content published without labelling | No record of which use cases touch EU data subjects,The assessment framework predates the transparency obligations and was never revised | Transparency treated as a legal question rather than an assessment field | Assumption that an internal-only classification excludes disclosure duties | Assumption that the high-risk deferral moved Art. 50 as well — it did not,Add an explicit transparency-trigger question to the assessment form | Maintain a disclosure register mapped to individual use cases | Automate machine-readable marking where synthetic content is generated | Re-screen the existing portfolio rather than only new intake,AGF-F024 | AGF-F004 | AGF-F092,"Art. 50 became enforceable 2 Aug 2026. Applies by system function, not risk tier, so mainstream generative deployments are in scope regardless of the Annex III deferral to Dec 2027.",Tiers 2–3
AGF-F024,No regulatory trigger built into assessment,AGF-TA03,Risk Assessment & Tiering,High,open,"The assessment asks thorough questions about data and security. It never asks which laws apply, so nobody finds out until someone in legal reads about it in the news.",,,,,,,,
AGF-F025,Aggregate portfolio risk unassessed,AGF-TA03,Risk Assessment & Tiering,High,open,Every individual AI project is low risk. Nobody has asked what it means that forty of them now depend on the same vendor's model.,,,,,,,,
AGF-F026,Bias and fairness risk unassessed,AGF-TA03,Risk Assessment & Tiering,Critical,open,A screening tool has been running for two years. Nobody has ever checked whether it treats different groups of applicants the same way.,,,,,,,,
AGF-F027,Undifferentiated review burden,AGF-TA03,Risk Assessment & Tiering,High,full,"Every AI request — including one to summarize meeting notes — goes through the full security, architecture, privacy and legal review. It takes eleven weeks, the reviewers are drowning, and teams have quietly stopped asking.","Governance applies the same depth of review to every use case regardless of risk. The result is not more safety: reviewer capacity is consumed by low-risk items, genuinely high-risk items receive no additional attention because there is none left to give, and the delay drives teams out of the process entirely.",Cross-sector; most acute in regulated industries where review functions are already at capacity,Identical review path and duration across trivially and materially different use cases | Specialist review functions reporting sustained backlog | Review cycle times measured in months | Rising proportion of use cases discovered after deployment rather than at intake | Reviewers approving late-stage items without substantive examination in order to clear queue,"Risk tiering was never established, or exists on paper without routing consequences — see AGF-F003 | Caution is expressed by adding reviewers rather than by directing them | No mechanism exists to route by risk, so the only safe default is to route everything everywhere | Fear that a fast path will be blamed if something goes wrong","Establish tiered intake where low-risk use cases follow a materially shorter path | Route by questionnaire trigger so only the relevant specialist functions are engaged | Require attestation to core controls on the fast path, with sampled post-hoc validation | Measure reviewer load and cycle time per tier, and publish both | Treat sustained backlog as a governance failure in its own right rather than a resourcing complaint",AGF-F003 | AGF-F010 | AGF-F011 | AGF-F035 | AGF-F037,"Presents as reviewer burnout and shadow adoption. Rarely reported as an incident, because the failure is the absence of governance rather than its malfunction.",Tiers 2–4
AGF-F030,Unauthorized or unqualified approver,AGF-TA04,Approval & Authorization,High,open,"The approval was signed by whoever was available that week, not by anyone with the authority or the background to judge it.",,,,,,,,
AGF-F031,Stale approval,AGF-TA04,Approval & Authorization,High,full,"The system was approved two years ago. The vendor has swapped the underlying model twice since then. The record still says 'approved,' and technically it is.","A use case continues to operate under an approval that has been invalidated by a subsequent change — to the model, the vendor, the data, or the applicable regulation — because no re-review was triggered.",Cross-sector; consequences highest in banking and biopharma,Approval dates materially older than the last model or vendor change | Approval records with no expiry | Regulatory change logs with no linked re-review activity | Vendor release notes with no corresponding governance event,Approvals modelled as one-time events rather than time-boxed states | No structural linkage between change management and the approval record | No owner monitoring regulatory change against the existing portfolio,"Time-box every approval with a defined expiry | Trigger re-review on model, vendor, data, or regulatory change | Link change records to approval records structurally rather than by convention | Operate a regulatory-change-to-portfolio impact process",AGF-F070 | AGF-F071 | AGF-F094,Typically surfaced during examination or inspection rather than as a publicly reported incident.,Tiers 4–5
AGF-F032,Use outside approved scope,AGF-TA04,Approval & Authorization,High,full,"A tool approved to draft internal summaries is now generating content that goes to customers. No new approval was sought, because to everyone involved it felt like the same tool doing the same thing.",A system approved for one narrow purpose is progressively used for others. Each extension appears minor in isolation; the cumulative result is a system operating well outside its assessed and approved risk profile.,"Manufacturing, insurance, banking, professional services",Usage patterns diverging from the documented intended-use statement | New user groups onboarded with no corresponding governance event | Output types appearing that were absent from the original assessment | Vendor capability expansion adopted without re-intake,No documented use-case boundary statement exists to be breached | Success in the approved use invites informal extension | Nothing monitors actual usage against approved scope,Require an explicit use-case boundary statement at the point of approval | Monitor usage against declared boundaries | Define re-intake triggers for scope extension | Treat vendor capability changes as a governance event,AGF-F031 | AGF-F063 | AGF-F015,Commonly identified during internal audit rather than through public incident reporting.,Tiers 3–4
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,Approval & Authorization,High,open,Approval was granted on condition the team added human review and logging before launch. They launched. Nobody ever checked whether they added either.,,,,,,,,
AGF-F034,No defined responsibility model for approval,AGF-TA04,Approval & Authorization,Moderate,open,"Four people have to sign off. None of them can say which parts they are each responsible for, so each waits to see what the others do first.",,,,,,,,
AGF-F035,Approval without substantive review,AGF-TA04,Approval & Authorization,High,open,The committee approves everything. Nobody can recall the last time a request was sent back with a material objection.,,,,,,,,
AGF-F036,Emergency approval with no subsequent review,AGF-TA04,Approval & Authorization,High,open,Something urgent got approved in a hallway conversation to hit a deadline. The proper review was going to happen right after launch. That was a year ago.,,,,,,,,
AGF-F037,No service level on review decisions,AGF-TA04,Approval & Authorization,High,full,"Teams submit a request and hear nothing for six weeks. There's no published turnaround time, so nothing is ever technically late — and people stop waiting and start improvising.","No committed turnaround exists for governance decisions. Because nothing is late by definition, delay is never escalated, never measured, and never treated as a defect. The predictable consequence is that teams route around governance rather than wait for it.",Cross-sector,No published turnaround commitment for any review stage | Submitters contacting reviewers directly to ask about status | Items with no status change for extended periods and no escalation triggered | Pent-up demand visible as a surge whenever a fast path is announced | Rising discovery of deployed systems that never entered review,Governance designed around thoroughness with no throughput commitment | No owner of end-to-end cycle time | Escalation paths defined for risk but not for delay | Capacity constraints treated as immovable rather than as a governable parameter,"Publish service levels per review tier and report performance against them | Trigger automatic escalation when an item exceeds its service level | Operate a regular triage cadence rather than ad-hoc scheduling | Make cycle time a reported governance metric alongside risk metrics | Treat sustained service-level breach as a finding, not as background noise",AGF-F027 | AGF-F011 | AGF-F010 | AGF-F044 | AGF-F086,Presents as shadow adoption and submitter attrition rather than as a reportable incident. The causal link between review latency and unsanctioned use is the most consistent pattern in this catalog.,Tiers 2–4
AGF-F038,No precedent reuse,AGF-TA04,Approval & Authorization,Moderate,full,"The same question — can we use this kind of model with this kind of data — has now been answered eight times by eight different reviewers. There's no record of the previous answers, so the ninth team starts from scratch.","Each review is conducted from first principles because prior decisions are not captured in reusable form. Reviewer effort is spent re-deriving conclusions that already exist, decisions drift as different reviewers reach different answers to the same question, and the organization cannot demonstrate consistency of treatment.",Cross-sector; compounding cost rises with portfolio size,"Reviewers unable to cite a prior decision on a materially identical question | Similar use cases receiving different conditions or outcomes | No searchable repository of past decisions, guidance, or accepted patterns | Review duration not decreasing as volume increases","Decisions recorded as approvals rather than as reasoning | No repository for guidance, patterns, or reference architectures | Review treated as a per-item task rather than as an accumulating knowledge base | Reviewer turnover with no capture of accumulated judgement","Maintain a searchable repository of decisions, guidance, and accepted patterns | Record the reasoning, not only the outcome | Define pre-approved patterns that qualifying use cases can adopt without full review | Publish playbooks for recurring use-case archetypes | Measure the proportion of reviews resolved by precedent as a programme health metric",AGF-F027 | AGF-F037 | AGF-F020 | AGF-F091,Presents as persistent reviewer load and inconsistent treatment of comparable cases.,Tiers 3–5
AGF-F039,Review sequencing mismatch,AGF-TA04,Approval & Authorization,High,full,"Review step three requires test results that only get produced at step five. Every request reaches step three, gets sent back, and goes around again. Everyone involved knows. Nobody has changed the order.","Governance gates are ordered so that an earlier stage requires artifacts produced by a later one. Items cycle repeatedly between stages, consuming reviewer capacity and elapsed time without adding assurance. The failure is structural: no amount of additional effort or resourcing resolves it, because the loop is built into the sequence.",Cross-sector; most visible in organizations with formal multi-stage review,Items repeatedly transitioning backward between the same two stages | Reviewers routinely rejecting for missing artifacts rather than for substance | Average number of stage transitions materially exceeding the number of stages | Teams pre-emptively producing artifacts out of sequence to avoid the loop | Stage-level metrics that look healthy while end-to-end cycle time does not,Stages designed independently by the functions that own them | No end-to-end process owner with authority to reorder gates | Artifact dependencies never mapped against stage sequence | Loop normalized over time and re-described as 'how the process works',Map artifact dependencies against stage order and reorder where they conflict | Introduce an explicit stage for producing prerequisite artifacts before the gate requiring them | Assign end-to-end process ownership with authority to change sequencing | Instrument backward transitions as a first-class metric | Review process design when backward transition rates exceed a defined threshold,AGF-F044 | AGF-F037 | AGF-F060 | AGF-F086,"Widely experienced, rarely documented — the loop is usually described as a resourcing problem rather than a design defect.",Tiers 3–5
AGF-F040,Missing human-in-the-loop trigger,AGF-TA05,Human Oversight & Accountability,Critical,full,"The policy says a person reviews every high-value decision. In the actual system, there is no screen where a person could do that, and no record that anyone ever has.",A decision pathway that requires human review under policy or law has no mechanism that enforces the review. The system decides and acts autonomously in cases where a human was supposed to intervene.,"Banking (credit, fraud), insurance (claims), employment screening, healthcare",Decision logs containing no human-review event | Automated approval rates at or near 100% | No reviewer identity captured on high-impact decisions | Review queue depth of zero on a pathway that should be generating reviews,Human oversight specified in policy prose but never implemented as a system control | Review thresholds defined qualitatively and therefore unenforceable | Volume pressure leads to the checkpoint being disabled without a governance decision,Define review thresholds numerically and enforce them in the system | Make the checkpoint blocking rather than advisory | Run sampling audits of automated decisions to confirm the pathway operates | Capture and retain reviewer identity as evidence,AGF-F041 | AGF-F045 | AGF-F043,A recurring contributing factor across publicly reported automated-decision harms in the AI Incident Database.,Tiers 3–5
AGF-F041,Human review present but not substantive,AGF-TA05,Human Oversight & Accountability,Critical,open,"There is a review step. The reviewer processes four hundred items an hour. It is a button, not a judgement.",,,,,,,,
AGF-F042,Orphaned ownership,AGF-TA05,Human Oversight & Accountability,High,open,"The person who built and owned the system left in March. The system is still running, still making decisions, and has no owner.",,,,,,,,
AGF-F043,No escalation path,AGF-TA05,Human Oversight & Accountability,High,open,"Someone on the front line notices the AI is producing something wrong. There is no route for that concern to go anywhere, so they work around it and tell a colleague.",,,,,,,,
AGF-F044,Diffused accountability across functions,AGF-TA05,Human Oversight & Accountability,High,full,"A decision needs risk, legal, data, and the business to agree. Getting them in the same room takes three weeks. The decision itself takes ten minutes.","Responsibility is spread across business, data, technology, legal, and risk functions with no single owner. Reviews stall in handoffs, decisions require assembling people who do not report to one another, and when something fails nobody is accountable because everybody was involved.",Cross-sector; most pronounced in large matrixed organizations,Long elapsed time against short active working time on governance reviews | Use cases stalling between functions rather than within them | No named owner recorded on a material proportion of the register | Escalations resolved by seniority rather than by defined authority,"Governance designed as a committee rather than as a process | No responsibility model, or one that exists on paper only | Each function optimizes its own step while nobody owns end-to-end cycle time",Publish a responsibility model with named accountable roles at each stage | Operate a single orchestration workspace so handoffs are visible | Set per-stage service levels with escalation on breach | Measure and report end-to-end cycle time rather than per-step throughput,AGF-F042 | AGF-F034 | AGF-F005 | AGF-F018,Manifests as slow delivery and unattributable failure rather than as a discrete incident.,Tiers 2–4
AGF-F045,No override or appeal route for affected individuals,AGF-TA05,Human Oversight & Accountability,Critical,open,"A customer was declined by an automated decision. There is no way for them to ask a human to look at it again, and no one inside the company who could act if they did.",,,,,,,,
AGF-F046,Governance owner without capacity,AGF-TA05,Human Oversight & Accountability,High,open,"One person owns AI governance. It is not their only job, or their second. They are in meetings all day, and the governance work happens on weekends — or it doesn't.",,,,,,,,
AGF-F047,Process communication diverges from routing logic,AGF-TA05,Human Oversight & Accountability,Moderate,open,The screen tells the submitter their request is going to expert review. The rules actually send it somewhere else entirely. Nobody notices until someone goes looking for a review that never happened.,,,,,,,,
AGF-F050,Undocumented data lineage,AGF-TA06,Data Governance & Provenance,High,open,Ask where the training data came from and the answer is the name of a person who might remember.,,,,,,,,
AGF-F051,Data-use rights and consent unverified,AGF-TA06,Data Governance & Provenance,Critical,open,Customer data collected for billing is now training a model. Nobody checked whether customers agreed to that when they handed it over.,,,,,,,,
AGF-F052,Sensitive data in ungoverned tools,AGF-TA06,Data Governance & Provenance,Critical,open,"Confidential documents are being pasted into tools the company doesn't control, to get a quick summary before a meeting.",,,,,,,,
AGF-F053,No data-quality gate before use,AGF-TA06,Data Governance & Provenance,High,open,The model started producing strange results. It turns out the input data has been broken for five weeks. Nothing was checking.,,,,,,,,
AGF-F054,Residency and cross-border rules unenforced,AGF-TA06,Data Governance & Provenance,High,open,Data that is supposed to stay in one country is being processed by a service running somewhere else. Nobody set out to do that; it's just where the vendor's capacity was.,,,,,,,,
AGF-F055,Retention and deletion not applied to AI artifacts,AGF-TA06,Data Governance & Provenance,High,open,"The company deletes customer records after seven years. The prompts and AI outputs containing those same records are kept indefinitely, because nobody classified them as records.",,,,,,,,
AGF-F056,Conflicting sources of truth,AGF-TA06,Data Governance & Provenance,High,open,"Two dashboards show different numbers for the same thing, because they pull from two systems that disagree. Both are being used to make decisions, and nobody knows which one is right.",,,,,,,,
AGF-F060,No independent validation before first use,AGF-TA07,"Validation, Testing & Documentation",Critical,open,The team that built the model is the team that checked whether it works.,,,,,,,,
AGF-F061,Validation not proportionate to materiality,AGF-TA07,"Validation, Testing & Documentation",High,open,A model that sets pricing across the whole business received the same one-page review as a tool that reformats slides.,,,,,,,,
AGF-F062,System documentation incomplete,AGF-TA07,"Validation, Testing & Documentation",Moderate,open,The documentation is a screenshot and a sentence. Nobody outside the original team could work out what the system actually does.,,,,,,,,
AGF-F063,No intended-use statement,AGF-TA07,"Validation, Testing & Documentation",High,open,"There is no written statement of what the system is for, so when someone asks whether a new use is in scope, there is nothing to compare it against.",,,,,,,,
AGF-F064,Assumptions and limitations undocumented,AGF-TA07,"Validation, Testing & Documentation",High,open,"The model assumes customers behave the way they did three years ago. That assumption is real, load-bearing, and written down nowhere.",,,,,,,,
AGF-F065,No fairness testing evidence retained,AGF-TA07,"Validation, Testing & Documentation",Critical,full,"Fairness testing was done once, by the team that built it, in a notebook on somebody's laptop. Then the auditor asked for evidence.","Fairness testing was either not performed or was performed without retaining evidence in a form that satisfies an external auditor. Under several regimes the absence of evidence is itself the violation, independent of whether the system is in fact biased.","Employment screening, lending, insurance underwriting, tenant screening",No independent audit within the last twelve months on in-scope systems | Testing performed by the building team with no independence | Results held in analyst notebooks rather than in a retained record | No published summary where publication is required,Fairness testing treated as a build-phase activity rather than a recurring obligation | No clear determination of which systems fall in scope of which jurisdiction | Independence requirements misread as satisfied by internal second-line review,Commission annual independent audits for in-scope automated employment decision tools | Retain evidence in an audit-ready system of record rather than in analysis artifacts | Maintain an in-scope determination register per jurisdiction | Publish required summaries on schedule,AGF-F026 | AGF-F090 | AGF-F060,Compliance studies since 2023 have repeatedly found low rates of published audit summaries among employers apparently in scope of NYC Local Law 144.,Tiers 3–5
AGF-F066,Generative and agentic systems governed under legacy assumptions,AGF-TA07,"Validation, Testing & Documentation",Critical,full,A generative assistant is being validated using the checklist written for statistical credit models. The checklist asks for things that don't apply and misses everything that does.,"Generative and agentic systems are either forced into a validation framework designed for deterministic statistical models, or fall into a governance gap because the applicable guidance explicitly excludes them. Both produce controls that do not fit the risk.",Banking most acutely; applicable wherever legacy model risk frameworks exist,"Generative use cases validated using deterministic backtesting methods | No hallucination or groundedness monitoring in place | Agent autonomy levels and tool-access scopes undocumented | Governance guidance predating generative adoption, unrevised","Supervisory guidance expressly places generative and agentic AI out of scope, leaving institutions to self-determine controls with no template | Existing frameworks are the only available machinery, so they are reused by default | Agentic capability changes faster than governance revision cycles","Establish a dedicated generative and agentic standard rather than extending the model standard | Implement hallucination, groundedness, and drift monitoring appropriate to non-deterministic output | Maintain an agent registry capturing capability, autonomy level, and tool access | Define validation methods suited to probabilistic systems",AGF-F016 | AGF-F061 | AGF-F081,"A structural gap rather than a discrete incident, created by the 17 Apr 2026 supersession of SR 11-7 and its explicit carve-out.",Tiers 3–5
AGF-F067,No production-readiness gate,AGF-TA07,"Validation, Testing & Documentation",Critical,full,"The idea was reviewed and approved at the concept stage, when it was a slide. It was then built, changed substantially along the way, and went live. Nothing looked at it again before launch.","Governance reviews the use case at intake but has no second checkpoint before deployment. Because most material design decisions are made after intake, the system that goes live can differ substantially from the one that was assessed — and nothing in the process is positioned to notice.",Cross-sector,Approval dates consistently preceding build start by a wide margin | No governance event recorded between approval and go-live | Deployed system characteristics differing from the intake record | Production incidents on systems whose governance record shows no issues | No defined criteria for what 'ready to deploy' requires,"Governance programme built intake-first, with later lifecycle stages never implemented | Assumption that intake approval covers the whole lifecycle | Deployment owned by delivery teams with no governance touchpoint | No agreed production-readiness criteria to gate against","Establish an explicit production-readiness review distinct from intake approval | Define readiness criteria covering monitoring, human oversight, rollback, and documentation | Require confirmation that the deployed system matches the assessed system | Gate deployment access or release approval on the readiness review | Treat material design change during build as a re-assessment trigger",AGF-F031 | AGF-F033 | AGF-F060 | AGF-F070,Commonly identified when a production incident traces back to a system whose governance record appears complete because it was assessed at concept stage.,Tiers 2–4
AGF-F070,"No change control over model, prompt or vendor changes",AGF-TA08,Deployment & Change Management,Critical,open,"Someone changed the prompt driving a customer-facing assistant. It was a two-line edit. There's no record of who, when, or why, and no way to get back to the old one.",,,,,,,,
AGF-F071,Silent vendor model update,AGF-TA08,Deployment & Change Management,Critical,open,The vendor upgraded their model over a weekend. Output quality changed noticeably on Monday. Nobody was told in advance and nothing was re-checked afterwards.,,,,,,,,
AGF-F072,Change misclassified as non-material,AGF-TA08,Deployment & Change Management,High,open,"'We just switched models' was logged as a minor configuration change, so it skipped review entirely.",,,,,,,,
AGF-F073,No rollback plan,AGF-TA08,Deployment & Change Management,High,open,"The new version is behaving badly. There is no agreed, tested way to go back to the old one, so the choice is to leave it running or turn it off.",,,,,,,,
AGF-F074,Environment drift between test and production,AGF-TA08,Deployment & Change Management,High,open,"It worked in testing. Production has different data, different settings, and different permissions, so it doesn't.",,,,,,,,
AGF-F075,Governance tooling configuration drift,AGF-TA08,Deployment & Change Management,High,open,"The governance workflow in the test system and the one in the live system aren't the same. Records moved between them quietly lose fields, and items disappear from the queues people actually work from.",,,,,,,,
AGF-F080,Absent or undocumented drift review,AGF-TA09,"Monitoring, Drift & Incident",Critical,full,"The model's accuracy has been sliding for eight months. Nobody looked, because looking wasn't anybody's job.","Model or system performance is not monitored for degradation over time, or is monitored informally without retained evidence. Performance decays silently until it surfaces as a business failure or an audit finding.",Cross-sector; regulatory consequence highest in banking and biopharma,"No documented drift review within the defined review period | Monitoring dashboards with no owner and no review record | Performance thresholds undefined, so nothing can breach | Alerting configured but routed to an unmonitored channel","Monitoring treated as a technical function detached from governance | No thresholds defined at approval, so there is no baseline to drift from | No named owner and no service level for review","Define quantitative performance thresholds at the point of approval | Schedule drift reviews producing retained, dated evidence | Assign a named monitoring owner with a defined service level | Route alerting to a monitored, accountable channel",AGF-F081 | AGF-F084 | AGF-F031,Among the most frequently cited technical contributors across AI Incident Database entries involving deployed production systems.,Tier 5
AGF-F081,No performance thresholds defined,AGF-TA09,"Monitoring, Drift & Incident",High,open,"Everyone agrees performance should be monitored. Nobody has said what 'bad' looks like, so nothing ever triggers and the monitoring is decorative.",,,,,,,,
AGF-F082,No AI-incident definition or reporting channel,AGF-TA09,"Monitoring, Drift & Incident",Critical,open,"Something went wrong with an AI system. Nobody was sure whether it counted as an incident, or who to tell, so it was handled as a bug.",,,,,,,,
AGF-F083,No feedback loop from incidents into governance,AGF-TA09,"Monitoring, Drift & Incident",Moderate,open,"The same problem has happened three times. Each time it was fixed. Nothing changed in how things get approved, so it will happen a fourth time.",,,,,,,,
AGF-F084,No monitoring owner or service level,AGF-TA09,"Monitoring, Drift & Incident",High,open,There's a monitoring dashboard. It's genuinely good. No one has opened it since the week it was built.,,,,,,,,
AGF-F085,Near-misses uncaptured,AGF-TA09,"Monitoring, Drift & Incident",Moderate,open,"The system nearly caused a serious error and somebody caught it by luck. It was fixed quietly and never written down, so the luck isn't reproducible.",,,,,,,,
AGF-F086,No stage-aging or cycle-time metric,AGF-TA09,"Monitoring, Drift & Incident",High,open,"Leadership asks how long approvals are taking. The system can show which stage each item is in, but not how long it's been sitting there — so the real answer is a guess, and it's usually optimistic.",,,,,,,,
